MIN;AVG;MAX
11;64;81
41;70;95
39;69;85
32;71;95
29;72;90
47;72;90
3;72;93
26;58;75
34;66;82
34;61;80
35;65;85
47;67;78
44;68;80
40;68;85
32;67;81
36;63;84
46;65;85
33;65;88
30;63;80
34;62;74
29;59;76
31;63;80
26;58;73
32;61;78
28;62;80
29;63;82
32;62;79
40;60;71
29;59;82
30;58;76
35;61;76
35;59;75
44;57;73
31;62;81
30;59;76
31;57;71
36;55;70
22;56;76
31;59;79
38;60;75
32;59;76
30;59;75
13;55;77
33;56;74
30;57;71
31;61;78
31;59;74
29;57;73
29;58;74
28;56;75
27;58;76
29;58;75
30;61;80
27;59;79
27;59;81
31;62;77
19;61;79
32;64;78
34;65;81
31;64;76
34;61;76
31;65;83
34;65;77
34;60;80
36;63;78
55;66;81
33;65;79
33;65;77
32;65;79
30;60;86
30;58;77
31;58;81
32;59;79
33;54;64
32;57;68
30;60;77
31;57;84
32;56;71
29;59;81
34;58;72
30;56;71
30;60;78
25;54;66
34;56;81
29;58;73
31;56;71
9;45;68
27;63;88
49;71;86
46;74;98
43;73;97
15;65;84
52;73;98
50;73;95
43;70;99
46;66;82
21;56;74
30;57;74
29;55;72
26;58;70
34;60;76
32;58;71
41;59;73
28;59;76
29;53;76
28;52;74
10;44;80
53;75;93
53;76;94
41;73;98
51;68;85
16;48;95
44;60;80
48;60;77
33;58;76
33;66;82
16;67;83
32;60;79
31;59;72
31;58;76
31;53;70
32;55;67
30;56;72
30;52;70
27;55;72
32;57;76
24;51;74
16;44;113
57;93;111
15;79;112
19;79;111
3;70;114
13;82;110
20;43;69
24;52;68
3;54;71
29;57;69
29;55;72
32;55;67
27;54;68
26;49;63
20;52;64
30;53;69
23;36;104
3;76;109
17;74;112
19;51;101
14;75;111
18;46;70
16;54;72
21;52;71
14;52;76
18;50;77
18;53;66
20;51;70
17;53;70
19;57;72
15;54;70
14;50;71
14;51;107
19;49;94
22;84;113
18;34;65
18;53;73
13;50;70
19;55;74
19;52;68
20;51;72
20;52;67
18;53;67
11;51;70
18;49;68
10;45;63
17;50;72
16;49;67
15;54;79
22;58;71
14;57;74
31;61;75
20;59;77
19;60;80
19;58;79
10;38;81
18;63;96
16;22;26
20;67;94
51;74;90
55;74;93
56;75;100
52;74;92
36;77;102
15;48;81
35;62;81
37;62;80
45;64;76
49;63;78
27;62;80
23;62;86
49;63;81
49;65;82
35;63;84
29;62;80
35;60;73
34;61;80
15;54;79
16;55;78
16;59;80
18;57;75
19;58;79
19;57;81
18;52;70
40;58;74
17;54;71
17;55;70
16;56;77
22;57;71
12;66;91
53;72;99
39;72;95
17;68;84
42;75;92
24;66;92
36;65;83
35;64;84
36;66;87
35;63;79
28;55;80
34;59;80
30;60;75
34;59;74
31;59;75
42;61;77
30;57;81
31;58;76
33;60;70
34;60;72
36;65;79
34;64;78
35;61;75
30;58;72
30;60;77
32;59;78
35;63;79
36;60;76
34;60;76
31;60;80
29;57;78
35;60;77
34;65;81
37;59;77
21;57;81
37;68;86
31;68;92
16;59;94
34;60;76
16;51;73
38;62;78
40;60;87
36;63;84
25;62;87
39;63;86
36;61;80
34;59;85
35;59;77
36;63;83
29;56;79
26;58;75
36;60;75
23;54;70
33;59;73
37;58;73
32;58;81
32;59;77
33;59;81
35;55;72
23;56;74
35;58;79
22;59;81
25;59;79
34;59;77
31;60;77
29;62;84
32;58;75
28;57;75
25;56;78
31;56;73
8;49;78
39;59;82
46;70;88
47;74;100
43;72;88
3;73;96
3;58;76
46;64;77
46;64;77
46;66;83
52;67;78
46;67;81
34;64;84
33;60;75
43;62;80
45;67;86
48;66;83
47;61;74
44;64;79
22;52;73
32;70;92
40;75;97
39;68;87
55;68;83
38;69;87
42;68;94
49;66;83
40;73;95
48;71;88
45;66;91
52;71;95
26;65;83
35;66;88
31;69;85
50;76;96
48;75;97
30;71;95
36;66;87
38;70;87
40;69;90
45;71;89
49;70;89
51;70;91
46;71;88
40;71;89
36;65;88
50;70;87
45;70;88
57;71;89
49;71;98
25;73;95
43;69;90
16;66;84
55;72;89
48;71;91
45;68;90
49;69;84
48;72;92
39;67;86
44;68;85
42;65;78
43;69;83
47;69;84
47;68;83
55;73;90
30;66;87
52;72;88
53;67;82
52;68;91
27;65;83
50;68;82
39;66;87
40;71;91
42;68;88
53;71;96
52;71;85
46;69;88
51;66;89
36;65;89
40;66;90
45;68;83
40;68;90
13;64;94
49;78;98
45;77;97
42;74;95
27;70;94
37;68;82
36;73;98
28;68;94
40;76;97
27;63;80
33;66;82
33;66;84
33;66;85
16;62;80
26;67;81
42;66;80
44;66;88
40;67;82
40;66;82
34;62;80
34;64;85
39;69;87
32;69;80
31;65;82
39;69;86
38;64;80
37;61;76
31;63;77
33;69;93
46;79;95
51;81;96
27;69;93
34;66;84
32;60;86
34;63;80
34;63;84
37;61;79
37;61;86
10;52;88
21;62;90
42;71;92
48;74;91
55;73;92
49;74;95
57;80;99
48;72;92
47;70;92
48;72;87
45;75;93
42;71;91
20;66;92
20;65;88
15;63;89
19;62;88
21;65;88
19;67;94
20;66;86
22;71;93
14;67;90
18;62;87
21;68;85
22;66;91
20;67;88
17;68;96
19;64;89
20;59;83
17;59;78
18;60;90
